100 0 0
100 -1 3
100 -2 5
100 -3 8
100 -4 10
100 -5 13
100 -6 15
100 -7 18
100 -8 20
100 -9 23
100 -10 25
99 -11 27
99 -12 30
99 -13 32
99 -14 35
99 -15 38
99 -16 40
99 -17 43
98 -18 45
98 -19 48
98 -20 50
98 -21 53
98 -22 55
97 -23 58
97 -24 60
97 -25 63
97 -26 65
96 -27 68
96 -28 70
96 -29 73
96 -30 75
95 -31 78
95 -31 80
95 -32 83
94 -33 85
94 -34 88
94 -35 90
93 -36 93
93 -37 95
92 -38 98
92 -39 100
92 -40 103
91 -41 105
91 -42 108
90 -43 110
90 -43 113
90 -44 115
89 -45 118
89 -46 120
88 -47 123
88 -48 125
87 -49 128
87 -50 130
86 -51 133
86 -51 135
85 -52 138
85 -53 140
84 -54 143
84 -55 145
83 -56 148
83 -56 150
82 -57 153
81 -58 155
81 -59 158
80 -60 160
80 -61 163
79 -61 165
78 -62 168
78 -63 170
77 -64 173
76 -64 175
76 -65 178
75 -66 180
75 -67 183
74 -67 185
73 -68 188
72 -69 190
72 -70 193
71 -70 195
70 -71 198
70 -72 200
69 -72 203
68 -73 205
67 -74 208
67 -74 210
66 -75 213
65 -76 215
64 -76 218
64 -77 220
63 -78 223
62 -78 225
61 -79 228
61 -80 230
60 -80 233
59 -81 235
58 -81 238
57 -82 240
57 -82 243
56 -83 245
55 -84 248
54 -84 250
53 -85 253
52 -85 255
51 -86 258
51 -86 260
50 -87 263
49 -87 265
48 -88 268
47 -88 270
46 -89 273
45 -89 275
44 -90 278
44 -90 280
43 -90 283
42 -91 285
41 -91 288
40 -92 290
39 -92 293
38 -92 295
37 -93 298
36 -93 300
35 -94 303
34 -94 305
33 -94 308
32 -95 310
32 -95 313
31 -95 315
30 -96 318
29 -96 320
28 -96 323
27 -96 325
26 -97 328
25 -97 330
24 -97 333
23 -97 335
22 -98 338
21 -98 340
20 -98 343
19 -98 345
18 -98 348
17 -99 350
16 -99 353
15 -99 355
14 -99 358
13 -99 360
12 -99 363
11 -99 365
10 -99 368
9 -100 370
8 -100 373
7 -100 375
6 -100 378
5 -100 380
4 -100 383
3 -100 385
2 -100 388
1 -100 390
0 -100 393
-1 -100 395
-2 -100 398
-3 -100 400
-4 -100 403
-5 -100 405
-6 -100 408
-7 -100 410
-8 -100 413
-9 -100 415
-10 -100 418
-11 -99 420
-12 -99 423
-13 -99 425
-14 -99 428
-15 -99 430
-16 -99 433
-17 -99 435
-18 -98 438
-19 -98 440
-20 -98 443
-21 -98 445
-22 -98 448
-23 -97 450
-24 -97 453
-25 -97 455
-26 -97 458
-27 -96 460
-28 -96 463
-29 -96 465
-29 -96 468
-30 -95 470
-31 -95 473
-32 -95 475
-33 -94 478
-34 -94 480
-35 -94 483
-36 -93 485
-37 -93 488
-38 -93 490
-39 -92 493
-40 -92 495
-41 -91 498
-42 -91 500
-43 -91 503
-43 -90 505
-44 -90 508
-45 -89 510
-46 -89 513
-47 -88 515
-48 -88 518
-49 -87 520
-50 -87 522
-50 -86 525
-51 -86 527
-52 -85 530
-53 -85 532
-54 -84 535
-55 -84 537
-56 -83 540
-56 -83 542
-57 -82 545
-58 -81 547
-59 -81 550
-60 -80 552
-60 -80 555
-61 -79 557
-62 -78 560
-63 -78 562
-64 -77 565
-64 -77 567
-65 -76 570
-66 -75 572
-67 -75 575
-67 -74 577
-68 -73 580
-69 -73 582
-70 -72 585
-70 -71 587
-71 -70 590
-72 -70 592
-72 -69 595
-73 -68 597
-74 -68 600
-74 -67 602
-75 -66 605
-76 -65 607
-76 -65 610
-77 -64 612
-78 -63 615
-78 -62 617
-79 -61 620
-80 -61 622
-80 -60 625
-81 -59 627
-81 -58 630
-82 -57 632
-82 -57 635
-83 -56 637
-84 -55 640
-84 -54 642
-85 -53 645
-85 -52 647
-86 -52 650
-86 -51 652
-87 -50 655
-87 -49 657
-88 -48 660
-88 -47 662
-89 -46 665
-89 -45 667
-90 -45 670
-90 -44 672
-90 -43 675
-91 -42 677
-91 -41 680
-92 -40 682
-92 -39 685
-92 -38 687
-93 -37 690
-93 -36 692
-94 -35 695
-94 -34 697
-94 -33 700
-95 -33 702
-95 -32 705
-95 -31 707
-95 -30 710
-96 -29 712
-96 -28 715
-96 -27 717
-97 -26 720
-97 -25 722
-97 -24 725
-97 -23 727
-98 -22 730
-98 -21 732
-98 -20 735
-98 -19 737
-98 -18 740
-99 -17 742
-99 -16 745
-99 -15 747
-99 -14 750
-99 -13 752
-99 -12 755
-99 -11 757
-99 -10 760
-100 -9 762
-100 -8 765
-100 -7 767
-100 -6 770
-100 -5 772
-100 -4 775
-100 -3 777
-100 -2 780
-100 -1 782
-100 0 785
-100 1 787
-100 2 790
-100 3 792
-100 4 795
-100 5 797
-100 6 800
-100 7 802
-100 8 805
-100 9 807
-100 10 810
-99 11 812
-99 12 815
-99 13 817
-99 14 820
-99 15 822
-99 16 825
-99 17 827
-98 18 830
-98 19 832
-98 20 835
-98 21 837
-98 22 840
-97 23 842
-97 24 845
-97 25 847
-97 26 850
-96 27 852
-96 27 855
-96 28 857
-96 29 860
-95 30 862
-95 31 865
-95 32 867
-94 33 870
-94 34 872
-94 35 875
-93 36 877
-93 37 880
-93 38 882
-92 39 885
-92 40 887
-91 41 890
-91 42 892
-91 42 895
-90 43 897
-90 44 900
-89 45 902
-89 46 905
-88 47 907
-88 48 910
-87 49 912
-87 50 915
-86 50 917
-86 51 920
-85 52 922
-85 53 925
-84 54 927
-84 55 930
-83 56 932
-83 56 935
-82 57 937
-81 58 940
-81 59 942
-80 60 945
-80 60 947
-79 61 950
-78 62 952
-78 63 955
-77 64 957
-77 64 960
-76 65 962
-75 66 965
-75 67 967
-74 67 970
-73 68 972
-73 69 975
-72 69 977
-71 70 980
-70 71 982
-70 72 985
-69 72 987
-68 73 990
-68 74 992
-67 74 995
-66 75 997
-65 76 1000
-65 76 1002
-64 77 1005
-63 78 1007
-62 78 1010
-62 79 1012
-61 79 1015
-60 80 1017
-59 81 1020
-58 81 1022
-57 82 1025
-57 82 1027
-56 83 1030
-55 84 1032
-54 84 1035
-53 85 1037
-52 85 1040
-52 86 1042
-51 86 1045
-50 87 1047
-49 87 1050
-48 88 1052
-47 88 1055
-46 89 1057
-46 89 1060
-45 89 1062
-44 90 1065
-43 90 1067
-42 91 1070
-41 91 1072
-40 92 1075
-39 92 1077
-38 92 1080
-37 93 1082
-36 93 1085
-35 94 1087
-35 94 1090
-34 94 1092
-33 95 1095
-32 95 1097
-31 95 1100
-30 95 1102
-29 96 1105
-28 96 1107
-27 96 1110
-26 97 1112
-25 97 1115
-24 97 1117
-23 97 1120
-22 98 1122
-21 98 1125
-20 98 1127
-19 98 1130
-18 98 1132
-17 99 1135
-16 99 1137
-15 99 1140
-14 99 1142
-13 99 1145
-12 99 1147
-11 99 1150
-10 99 1152
-9 100 1155
-8 100 1157
-7 100 1160
-6 100 1162
-5 100 1165
-4 100 1167
-3 100 1170
-2 100 1172
-1 100 1175
0 100 1177
1 100 1180
